,prev4,prev3,prev2,prev1,WORD_ORC,next1,next2,next3,next4,WORD_TRUR,SAME
18675,were,we,successfully,prevented,both,the,adoptlon,of,unlque,study,True
18676,we,successfully,prevented,both,the,adoptlon,of,unlque,state,results,True
18677,successfully,prevented,both,the,adoptlon,of,unlque,state,regulatlons,were,True
18678,prevented,both,the,adoptlon,of,unlque,state,regulatlons,of,effectively,True
18679,both,the,adoptlon,of,unlque,state,regulatlons,of,toxlc,only,False
18680,the,adoptlon,of,unlque,state,regulatlons,of,toxlc,alr,minnesota,True
18681,adoptlon,of,unlque,state,regulatlons,of,toxlc,alr,as,passed,True
18682,of,unlque,state,regulatlons,of,toxlc,alr,as,an,a,True
18683,unlque,state,regulatlons,of,toxlc,alr,as,an,compounds,public,False
18684,state,regulatlons,of,toxlc,alr,as,an,compounds,pn,compensation,True
18685,regulatlons,of,toxlc,alr,as,an,compounds,pn,bjx,bill,True
18686,of,toxlc,alr,as,an,compounds,pn,bjx,months,which,True
18687,toxlc,alr,as,an,compounds,pn,bjx,months,by,the,True
18688,alr,as,an,compounds,pn,bjx,months,by,shortcuttlng,situation,False
18689,as,an,compounds,pn,bjx,months,by,shortcuttlng,good,there,False
18690,an,compounds,pn,bjx,months,by,shortcuttlng,good,reason,was,True
18691,compounds,pn,bjx,months,by,shortcuttlng,good,reason,has,unique,True
18692,pn,bjx,months,by,shortcuttlng,good,reason,has,government,in,False
18693,bjx,months,by,shortcuttlng,good,reason,has,government,for,that,True
18694,months,by,shortcuttlng,good,reason,has,government,for,only,local,True
18695,by,shortcuttlng,good,reason,has,government,for,only,promulgatlng,industry,True
18696,shortcuttlng,good,reason,has,government,for,only,promulgatlng,regulatlons,problems,True
18697,good,reason,has,government,for,only,promulgatlng,regulatlons,for,created,True
18698,reason,has,government,for,only,promulgatlng,regulatlons,for,srx,by,True
18699,has,government,for,only,promulgatlng,regulatlons,for,srx,hazardous,an,False
18700,government,for,only,promulgatlng,regulatlons,for,srx,hazardous,orchestrate,earlier,True
18701,for,only,promulgatlng,regulatlons,for,srx,hazardous,orchestrate,the,yihm,True
18702,only,promulgatlng,regulatlons,for,srx,hazardous,orchestrate,the,passage,minnesota,False
18703,promulgatlng,regulatlons,for,srx,hazardous,orchestrate,the,passage,of,superfund,True
18704,regulatlons,for,srx,hazardous,orchestrate,the,passage,of,a,unacceptable,True
18705,for,srx,hazardous,orchestrate,the,passage,of,a,couple,liability,True
18706,srx,hazardous,orchestrate,the,passage,of,a,couple,of,language,True
18707,hazardous,orchestrate,the,passage,of,a,couple,of,more,and,True
18708,orchestrate,the,passage,of,a,couple,of,more,laws,the,True
18709,the,passage,of,a,couple,of,more,laws,preparatlon,inclusion,True
18710,passage,of,a,couple,of,more,laws,preparatlon,over,of,True
18711,of,a,couple,of,more,laws,preparatlon,over,the,provisions,True
18712,a,couple,of,more,laws,preparatlon,over,the,prevlous,for,True
18713,couple,of,more,laws,preparatlon,over,the,prevlous,three,cma,False
18714,of,more,laws,preparatlon,over,the,prevlous,three,years,also,True
18715,more,laws,preparatlon,over,the,prevlous,three,years,paid,played,True
18716,laws,preparatlon,over,the,prevlous,three,years,paid,and,a,False
18717,preparatlon,over,the,prevlous,three,years,paid,and,our,role,True
18718,over,the,prevlous,three,years,paid,and,our,network,in,True
18719,the,prevlous,three,years,paid,and,our,network,addltlonal,preventing,True
18720,prevlous,three,years,paid,and,our,network,addltlonal,releases,further,True
18721,three,years,paid,and,our,network,addltlonal,releases,of,proliferation,True
18722,years,paid,and,our,network,addltlonal,releases,of,toxlc,of,True
18723,paid,and,our,network,addltlonal,releases,of,toxlc,substances,compounds,False
18724,and,our,network,addltlonal,releases,of,toxlc,substances,since,in,True
18725,our,network,addltlonal,releases,of,toxlc,substances,since,bhopal,six,True
18726,network,addltlonal,releases,of,toxlc,substances,since,bhopal,contlnue,months,False
18727,addltlonal,releases,of,toxlc,substances,since,bhopal,contlnue,to,by,True
18728,releases,of,toxlc,substances,since,bhopal,contlnue,to,survlval,shortcutting,True
18729,of,toxlc,substances,since,bhopal,contlnue,to,survlval,pn,good,True
18730,toxlc,substances,since,bhopal,contlnue,to,survlval,pn,offlce,reason,False
18731,substances,since,bhopal,contlnue,to,survlval,pn,offlce,depends,has,True
18732,since,bhopal,contlnue,to,survlval,pn,offlce,depends,on,but,True
18733,bhopal,contlnue,to,survlval,pn,offlce,depends,on,thelr,we,False
18734,contlnue,to,survlval,pn,offlce,depends,on,thelr,response,rest,False
18735,to,survlval,pn,offlce,depends,on,thelr,response,to,on,True
18736,survlval,pn,offlce,depends,on,thelr,response,to,polltlcal,past,True
18737,pn,offlce,depends,on,thelr,response,to,polltlcal,will,the,False
18738,offlce,depends,on,thelr,response,to,polltlcal,will,be,outlook,True
18739,depends,on,thelr,response,to,polltlcal,will,be,handled,for,True
18740,on,thelr,response,to,polltlcal,will,be,handled,prlmarlly,the,False
18741,thelr,response,to,polltlcal,will,be,handled,prlmarlly,by,instead,True
18742,response,to,polltlcal,will,be,handled,prlmarlly,by,the,of,True
18743,to,polltlcal,will,be,handled,prlmarlly,by,the,states,being,True
18744,polltlcal,will,be,handled,prlmarlly,by,the,states,ib,innocent,True
18745,will,be,handled,prlmarlly,by,the,states,ib,the,until,True
18746,be,handled,prlmarlly,by,the,states,ib,the,contamlnants,proven,True
18747,handled,prlmarlly,by,the,states,ib,the,contamlnants,control,industry,True
18748,prlmarlly,by,the,states,ib,the,contamlnants,control,the,now,False
18749,by,the,states,ib,the,contamlnants,control,the,states,can,True
18750,the,states,ib,the,contamlnants,control,the,states,have,cma,False
18751,states,ib,the,contamlnants,control,the,states,have,and,dnrzyo,True
18752,ib,the,contamlnants,control,the,states,have,and,should,limited,True
18753,the,contamlnants,control,the,states,have,and,should,contlnue,only,True
18754,contamlnants,control,the,states,have,and,should,contlnue,to,by,True
18755,control,the,states,have,and,should,contlnue,to,have,as,True
18756,the,states,have,and,should,contlnue,to,have,fundamental,defined,True
18757,states,have,and,should,contlnue,to,have,fundamental,w,by,False
18758,have,and,should,contlnue,to,have,fundamental,w,provldlng,state,True
18759,and,should,contlnue,to,have,fundamental,w,provldlng,alternatlve,authorities,True
18760,should,contlnue,to,have,fundamental,w,provldlng,alternatlve,sources,whose,True
18761,contlnue,to,have,fundamental,w,provldlng,alternatlve,sources,of,will,False
18762,to,have,fundamental,w,provldlng,alternatlve,sources,of,drlnklng,be,False
18763,have,fundamental,w,provldlng,alternatlve,sources,of,drlnklng,water,handled,False
18764,fundamental,w,provldlng,alternatlve,sources,of,drlnklng,water,for,primarily,True
18765,w,provldlng,alternatlve,sources,of,drlnklng,water,for,the,by,True
18766,provldlng,alternatlve,sources,of,drlnklng,water,for,the,better,the,False
18767,alternatlve,sources,of,drlnklng,water,for,the,better,groundwater,states,True
18768,sources,of,drlnklng,water,for,the,better,groundwater,thomas,if,True
18769,of,drlnklng,water,for,the,better,groundwater,thomas,announced,the,True
18770,drlnklng,water,for,the,better,groundwater,thomas,announced,a,local,True
18771,water,for,the,better,groundwater,thomas,announced,a,substantlally,two,True
18772,for,the,better,groundwater,thomas,announced,a,substantlally,new,the,True
18773,the,better,groundwater,thomas,announced,a,substantlally,new,approach,states,True
18774,better,groundwater,thomas,announced,a,substantlally,new,approach,for,have,True
18775,groundwater,thomas,announced,a,substantlally,new,approach,for,reduclng,and,False
18776,thomas,announced,a,substantlally,new,approach,for,reduclng,publlc,should,True
18777,announced,a,substantlally,new,approach,for,reduclng,publlc,health,continue,True
18778,a,substantlally,new,approach,for,reduclng,publlc,health,rlsks,to,True
18779,substantlally,new,approach,for,reduclng,publlc,health,rlsks,from,have,False
18780,new,approach,for,reduclng,publlc,health,rlsks,from,alrborne,fundamental,True
18781,approach,for,reduclng,publlc,health,rlsks,from,alrborne,toxlc,responsibility,True
18782,for,reduclng,publlc,health,rlsks,from,alrborne,toxlc,federal,for,False
18783,reduclng,publlc,health,rlsks,from,alrborne,toxlc,federal,standards,protection,True
18784,publlc,health,rlsks,from,alrborne,toxlc,federal,standards,for,and,False
18785,health,rlsks,from,alrborne,toxlc,federal,standards,for,qndovidual,management,False
18786,rlsks,from,alrborne,toxlc,federal,standards,for,qndovidual,contamlnants,of,True
18787,from,alrborne,toxlc,federal,standards,for,qndovidual,contamlnants,will,the,True
18788,alrborne,toxlc,federal,standards,for,qndovidual,contamlnants,will,no,resource,True
18789,toxlc,federal,standards,for,qndovidual,contamlnants,will,no,longer,states,False
18790,federal,standards,for,qndovidual,contamlnants,will,no,longer,be,will,False
18791,standards,for,qndovidual,contamlnants,will,no,longer,be,the,be,True
18792,for,qndovidual,contamlnants,will,no,longer,be,the,prune,deciding,True
18793,qndovidual,contamlnants,will,no,longer,be,the,prune,tactlc,when,True
18794,contamlnants,will,no,longer,be,the,prune,tactlc,for,and,True
18795,will,no,longer,be,the,prune,tactlc,for,control,how,True
18796,no,longer,be,the,prune,tactlc,for,control,development,much,True
18797,longer,be,the,prune,tactlc,for,control,development,and,industry,True
18798,be,the,prune,tactlc,for,control,development,and,evolutlon,pays,True
18799,the,prune,tactlc,for,control,development,and,evolutlon,of,for,True
18800,prune,tactlc,for,control,development,and,evolutlon,of,state,programs,True
18801,tactlc,for,control,development,and,evolutlon,of,state,organlzatlons,and,True
18802,for,control,development,and,evolutlon,of,state,organlzatlons,around,collective,False
18803,control,development,and,evolutlon,of,state,organlzatlons,around,the,capabilities,True
18804,development,and,evolutlon,of,state,organlzatlons,around,the,prepare,of,True
18805,and,evolutlon,of,state,organlzatlons,around,the,prepare,a,the,False
18806,evolutlon,of,state,organlzatlons,around,the,prepare,a,comprehenslve,various,True
18807,of,state,organlzatlons,around,the,prepare,a,comprehenslve,status,organizations,True
18808,state,organlzatlons,around,the,prepare,a,comprehenslve,status,report,and,True
18809,organlzatlons,around,the,prepare,a,comprehenslve,status,report,on,chemical,True
18810,around,the,prepare,a,comprehenslve,status,report,on,the,industry,False
18811,the,prepare,a,comprehenslve,status,report,on,the,current,committees,True
18812,prepare,a,comprehenslve,status,report,on,the,current,new,of,True
18813,a,comprehenslve,status,report,on,the,current,new,budget,state,True
18814,comprehenslve,status,report,on,the,current,new,budget,and,manufacturers,True
18815,status,report,on,the,current,new,budget,and,the,in,True
18816,report,on,the,current,new,budget,and,the,budgets,consultant,True
18817,on,the,current,new,budget,and,the,budgets,and,represent,True
18818,the,current,new,budget,and,the,budgets,and,dues,a,True
18819,current,new,budget,and,the,budgets,and,dues,structures,broad,True
18820,new,budget,and,the,budgets,and,dues,structures,of,spectrum,True
18821,budget,and,the,budgets,and,dues,structures,of,the,of,True
18822,and,the,budgets,and,dues,structures,of,the,elements,programs,True
18823,the,budgets,and,dues,structures,of,the,elements,whlch,and,True
18824,budgets,and,dues,structures,of,the,elements,whlch,contrlbute,while,True
18825,and,dues,structures,of,the,elements,whlch,contrlbute,to,a,True
18826,dues,structures,of,the,elements,whlch,contrlbute,to,successful,various,True
18827,structures,of,the,elements,whlch,contrlbute,to,successful,cm,state,True
18828,of,the,elements,whlch,contrlbute,to,successful,cm,nn,organizations,False
18829,the,elements,whlch,contrlbute,to,successful,cm,nn,that,varies,True
18830,elements,whlch,contrlbute,to,successful,cm,nn,that,state,enormously,True
18831,whlch,contrlbute,to,successful,cm,nn,that,state,dth,from,True
18832,contrlbute,to,successful,cm,nn,that,state,dth,human,the,True
18833,to,successful,cm,nn,that,state,dth,human,as,state,True
18834,successful,cm,nn,that,state,dth,human,as,well,organizations,True
18835,cm,nn,that,state,dth,human,as,well,as,generally,True
18836,nn,that,state,dth,human,as,well,as,flnanclal,operate,True
18837,that,state,dth,human,as,well,as,flnanclal,resources,on,True
18838,state,dth,human,as,well,as,flnanclal,resources,strong,budgets,True
18839,dth,human,as,well,as,flnanclal,resources,strong,quallta,of,True
18840,human,as,well,as,flnanclal,resources,strong,quallta,ive,well,False
18841,as,well,as,flnanclal,resources,strong,quallta,ive,and,under,True
18842,well,as,flnanclal,resources,strong,quallta,ive,and,quantltatlve,direct,True
18843,as,flnanclal,resources,strong,quallta,ive,and,quantltatlve,cm,but,False
18844,flnanclal,resources,strong,quallta,ive,and,quantltatlve,cm,staff,are,True
18845,resources,strong,quallta,ive,and,quantltatlve,cm,staff,support,contributed,True
18846,strong,quallta,ive,and,quantltatlve,cm,staff,support,m,in,False
18847,quallta,ive,and,quantltatlve,cm,staff,support,m,full,the,True
18848,ive,and,quantltatlve,cm,staff,support,m,full,negatlve,form,True
18849,and,quantltatlve,cm,staff,support,m,full,negatlve,of,of,True
18850,quantltatlve,cm,staff,support,m,full,negatlve,of,the,member,False
18851,cm,staff,support,m,full,negatlve,of,the,nndustry,company,True
18852,staff,support,m,full,negatlve,of,the,nndustry,un,lack,False
18853,support,m,full,negatlve,of,the,nndustry,un,the,of,True
18854,m,full,negatlve,of,the,nndustry,un,the,than,technical,True
18855,full,negatlve,of,the,nndustry,un,the,than,creatlng,resources,False
18856,negatlve,of,the,nndustry,un,the,than,creatlng,new,being,True
18857,of,the,nndustry,un,the,than,creatlng,new,ones,made,True
18858,the,nndustry,un,the,than,creatlng,new,ones,at,in,True
18859,nndustry,un,the,than,creatlng,new,ones,at,thls,some,False
18860,un,the,than,creatlng,new,ones,at,thls,cma,cases,True
18861,the,than,creatlng,new,ones,at,thls,cma,should,one,True
18862,than,creatlng,new,ones,at,thls,cma,should,carefully,being,True
18863,creatlng,new,ones,at,thls,cma,should,carefully,interest,state,True
18864,new,ones,at,thls,cma,should,carefully,interest,shoud,legislative,True
18865,ones,at,thls,cma,should,carefully,interest,shoud,contlnue,and,True
18866,at,thls,cma,should,carefully,interest,shoud,contlnue,m,regulatory,True
18867,thls,cma,should,carefully,interest,shoud,contlnue,m,be,cma,True
18868,cma,should,carefully,interest,shoud,contlnue,m,be,funded,should,True
18869,should,carefully,interest,shoud,contlnue,m,be,funded,dlrectly,allocate,False
18870,carefully,interest,shoud,contlnue,m,be,funded,dlrectly,by,funds,False
18871,interest,shoud,contlnue,m,be,funded,dlrectly,by,the,to,True
18872,shoud,contlnue,m,be,funded,dlrectly,by,the,member,help,True
18873,contlnue,m,be,funded,dlrectly,by,the,member,provlded,finance,False
18874,m,be,funded,dlrectly,by,the,member,provlded,thro,specific,True
18875,be,funded,dlrectly,by,the,member,provlded,thro,gh,projects,True
18876,funded,dlrectly,by,the,member,provlded,thro,gh,the,or,True
18877,dlrectly,by,the,member,provlded,thro,gh,the,cm,grant,True
18878,by,the,member,provlded,thro,gh,the,cm,communlcatlon,program,False
18879,the,member,provlded,thro,gh,the,cm,communlcatlon,program,to,False
18880,member,provlded,thro,gh,the,cm,communlcatlon,program,to,assist,True
18881,provlded,thro,gh,the,cm,communlcatlon,program,to,help,in,True
18882,thro,gh,the,cm,communlcatlon,program,to,help,rnrtlate,getting,False
18883,gh,the,cm,communlcatlon,program,to,help,rnrtlate,assoclatlons,new,True
18884,the,cm,communlcatlon,program,to,help,rnrtlate,assoclatlons,state,or,True
18885,cm,communlcatlon,program,to,help,rnrtlate,assoclatlons,state,level,expanded,True
18886,communlcatlon,program,to,help,rnrtlate,assoclatlons,state,level,cooperatlon,operations,False
18887,program,to,help,rnrtlate,assoclatlons,state,level,cooperatlon,and,increase,False
18888,to,help,rnrtlate,assoclatlons,state,level,cooperatlon,and,provldlng,its,True
18889,help,rnrtlate,assoclatlons,state,level,cooperatlon,and,provldlng,adquate,efforts,True
18890,rnrtlate,assoclatlons,state,level,cooperatlon,and,provldlng,adquate,flnanclal,to,True
18891,assoclatlons,state,level,cooperatlon,and,provldlng,adquate,flnanclal,resources,provide,True
18892,state,level,cooperatlon,and,provldlng,adquate,flnanclal,resources,provldlng,methods,False
18893,level,cooperatlon,and,provldlng,adquate,flnanclal,resources,provldlng,th,for,False
18894,cooperatlon,and,provldlng,adquate,flnanclal,resources,provldlng,th,rlght,funding,False
18895,and,provldlng,adquate,flnanclal,resources,provldlng,th,rlght,klnd,cic,True
18896,provldlng,adquate,flnanclal,resources,provldlng,th,rlght,klnd,of,fund,False
18897,adquate,flnanclal,resources,provldlng,th,rlght,klnd,of,people,and,True
18898,flnanclal,resources,provldlng,th,rlght,klnd,of,people,to,conduct,False
18899,resources,provldlng,th,rlght,klnd,of,people,to,support,leadership,False
18900,provldlng,th,rlght,klnd,of,people,to,support,member,and,True
18901,th,rlght,klnd,of,people,to,support,member,comps,training,True
18902,rlght,klnd,of,people,to,support,member,comps,should,workshops,True
18903,klnd,of,people,to,support,member,comps,should,asslgn,for,True
18904,of,people,to,support,member,comps,should,asslgn,an,providing,True
18905,people,to,support,member,comps,should,asslgn,an,indlvldual,the,True
18906,to,support,member,comps,should,asslgn,an,indlvldual,overall,right,True
18907,support,member,comps,should,asslgn,an,indlvldual,overall,responi,kind,False
18908,member,comps,should,asslgn,an,indlvldual,overall,responi,the,of,True
18909,comps,should,asslgn,an,indlvldual,overall,responi,the,cm,people,False
18910,should,asslgn,an,indlvldual,overall,responi,the,cm,recommendatlons,to,True
18911,asslgn,an,indlvldual,overall,responi,the,cm,recommendatlons,in,support,True
18912,an,indlvldual,overall,responi,the,cm,recommendatlons,in,the,individuals,True
18913,indlvldual,overall,responi,the,cm,recommendatlons,in,the,context,in,True
18914,overall,responi,the,cm,recommendatlons,in,the,context,of,aach,False
18915,responi,the,cm,recommendatlons,in,the,context,of,hn,corporation,True
18916,the,cm,recommendatlons,in,the,context,of,hn,value,naad,True
18917,cm,recommendatlons,in,the,context,of,hn,value,of,to,True
18918,recommendatlons,in,the,context,of,hn,value,of,shlpnenta,selectively,True
18919,in,the,context,of,hn,value,of,shlpnenta,budget,cma,False
18920,the,context,of,hn,value,of,shlpnenta,budget,publle,cma,True
18921,context,of,hn,value,of,shlpnenta,budget,publle,communlcatlo,evkovj,True
18922,of,hn,value,of,shlpnenta,budget,publle,communlcatlo,n,h,False
18923,hn,value,of,shlpnenta,budget,publle,communlcatlo,n,program,state,True
18924,value,of,shlpnenta,budget,publle,communlcatlo,n,program,staff,ranking,True
18925,of,shlpnenta,budget,publle,communlcatlo,n,program,staff,cover,value,False
18926,shlpnenta,budget,publle,communlcatlo,n,program,staff,cover,relatlons,of,False
18927,budget,publle,communlcatlo,n,program,staff,cover,relatlons,program,shipnenta,True
18928,publle,communlcatlo,n,program,staff,cover,relatlons,program,actlven,independent,True
18929,communlcatlo,n,program,staff,cover,relatlons,program,actlven,no,or,True
18930,n,program,staff,cover,relatlons,program,actlven,no,educatlon,affiliated,True
18931,program,staff,cover,relatlons,program,actlven,no,educatlon,pm,organitations,True
18932,staff,cover,relatlons,program,actlven,no,educatlon,pm,independent,budget,True
18933,cover,relatlons,program,actlven,no,educatlon,pm,independent,gl,publie,True
18934,relatlons,program,actlven,no,educatlon,pm,independent,gl,nun,communications,False
18935,program,actlven,no,educatlon,pm,independent,gl,nun,ves,staff,True
18936,actlven,no,educatlon,pm,independent,gl,nun,ves,yes,relations,True
18937,no,educatlon,pm,independent,gl,nun,ves,yes,yes,program,False
18938,educatlon,pm,independent,gl,nun,ves,yes,yes,ho,none,False
18939,pm,independent,gl,nun,ves,yes,yes,ho,industry,no,True
18940,independent,gl,nun,ves,yes,yes,ho,industry,yn,ho,True
18941,gl,nun,ves,yes,yes,ho,industry,yn,none,education,True
18942,nun,ves,yes,yes,ho,industry,yn,none,yes,kt,True
18943,ves,yes,yes,ho,industry,yn,none,yes,none,u,True
18944,yes,yes,ho,industry,yn,none,yes,none,independent,ves,False
18945,yes,ho,industry,yn,none,yes,none,independent,yea,yes,True
18946,ho,industry,yn,none,yes,none,independent,yea,no,ho,True
18947,industry,yn,none,yes,none,independent,yea,no,ho,oo,True
18948,yn,none,yes,none,independent,yea,no,ho,independent,yes,True
18949,none,yes,none,independent,yea,no,ho,independent,partitlme,tv,True
18950,yes,none,independent,yea,no,ho,independent,partitlme,ves,none,True
18951,none,independent,yea,no,ho,independent,partitlme,ves,aik,none,True
18952,independent,yea,no,ho,independent,partitlme,ves,aik,er,di,True
18953,yea,no,ho,independent,partitlme,ves,aik,er,none,independent,False
18954,no,ho,independent,partitlme,ves,aik,er,none,ho,yea,True
18955,ho,independent,partitlme,ves,aik,er,none,ho,independent,ho,True
18956,independent,partitlme,ves,aik,er,none,ho,independent,an,k,True
18957,partitlme,ves,aik,er,none,ho,independent,an,g,independent,True
18958,ves,aik,er,none,ho,independent,an,g,qs,lobbyist,True
18959,aik,er,none,ho,independent,an,g,qs,ves,ves,True
18960,er,none,ho,independent,an,g,qs,ves,yes,yes,True
18961,none,ho,independent,an,g,qs,ves,yes,none,affiliated,False
18962,ho,independent,an,g,qs,ves,yes,none,no,with,False
18963,independent,an,g,qs,ves,yes,none,no,ho,sr,True
18964,an,g,qs,ves,yes,none,no,ho,xp,none,True
18965,g,qs,ves,yes,none,no,ho,xp,ho,ves,True
18966,qs,ves,yes,none,no,ho,xp,ho,jg,independent,True
18967,ves,yes,none,no,ho,xp,ho,jg,nw,db,True
18968,yes,none,no,ho,xp,ho,jg,nw,rk,none,False
18969,none,no,ho,xp,ho,jg,nw,rk,assoclatlo,no,True
18970,no,ho,xp,ho,jg,nw,rk,assoclatlo,hgmt,ves,False
18971,ho,xp,ho,jg,nw,rk,assoclatlo,hgmt,flrm,qz,True
18972,xp,ho,jg,nw,rk,assoclatlo,hgmt,flrm,a,press,True
18973,ho,jg,nw,rk,assoclatlo,hgmt,flrm,a,retalned,chenical,False
18974,jg,nw,rk,assoclatlo,hgmt,flrm,a,retalned,flrm,affairs,True
18975,nw,rk,assoclatlo,hgmt,flrm,a,retalned,flrm,yes,croup,True
18976,rk,assoclatlo,hgmt,flrm,a,retalned,flrm,yes,cm,of,True
18977,assoclatlo,hgmt,flrm,a,retalned,flrm,yes,cm,of,associated,True
18978,hgmt,flrm,a,retalned,flrm,yes,cm,of,td,of,True
18979,flrm,a,retalned,flrm,yes,cm,of,td,partitlme,uz,True
18980,a,retalned,flrm,yes,cm,of,td,partitlme,cm,affiliated,True
18981,retalned,flrm,yes,cm,of,td,partitlme,cm,of,with,True
18982,flrm,yes,cm,of,td,partitlme,cm,of,new,aim,True
18983,yes,cm,of,td,partitlme,cm,of,new,jersey,independent,False
18984,cm,of,td,partitlme,cm,of,new,jersey,independen,association,True
18985,of,td,partitlme,cm,of,new,jersey,independen,t,hgmt,True
18986,td,partitlme,cm,of,new,jersey,independen,t,yq,firm,True
18987,partitlme,cm,of,new,jersey,independen,t,yq,yes,f,True
18988,cm,of,new,jersey,independen,t,yq,yes,lera,yes,False
18989,of,new,jersey,independen,t,yq,yes,lera,partitlme,ves,False
18990,new,jersey,independen,t,yq,yes,lera,partitlme,nd,independent,False
18991,jersey,independen,t,yq,yes,lera,partitlme,nd,of,w,True
18992,independen,t,yq,yes,lera,partitlme,nd,of,mf,t,True
18993,t,yq,yes,lera,partitlme,nd,of,mf,tma,ng,False
18994,yq,yes,lera,partitlme,nd,of,mf,tma,independe,ves,True
18995,yes,lera,partitlme,nd,of,mf,tma,independe,t,yes,True
18996,lera,partitlme,nd,of,mf,tma,independe,t,afflllate,ves,False
18997,partitlme,nd,of,mf,tma,independe,t,afflllate,hlth,no,True
18998,nd,of,mf,tma,independe,t,afflllate,hlth,ei,of,False
18999,of,mf,tma,independe,t,afflllate,hlth,ei,nun,tennessee,False
19000,mf,tma,independe,t,afflllate,hlth,ei,nun,sn,cma,False
19001,tma,independe,t,afflllate,hlth,ei,nun,sn,week,xipwgi,False
19002,independe,t,afflllate,hlth,ei,nun,sn,week,ves,r,True
19003,t,afflllate,hlth,ei,nun,sn,week,ves,just,s,False
19004,afflllate,hlth,ei,nun,sn,week,ves,just,begl,oo,False
19005,hlth,ei,nun,sn,week,ves,just,begl,ho,zi,True
19006,ei,nun,sn,week,ves,just,begl,ho,ho,independent,True
19007,nun,sn,week,ves,just,begl,ho,ho,yes,affiliated,True
19008,sn,week,ves,just,begl,ho,ho,yes,ho,with,False
19009,week,ves,just,begl,ho,ho,yes,ho,exhibit,hone,True
19010,ves,just,begl,ho,ho,yes,ho,exhibit,r,ves,True
19011,just,begl,ho,ho,yes,ho,exhibit,r,sfke,ves,True
19012,begl,ho,ho,yes,ho,exhibit,r,sfke,summary,ho,True
19013,ho,ho,yes,ho,exhibit,r,sfke,summary,or,ves,True
19014,ho,yes,ho,exhibit,r,sfke,summary,or,appol,ves,False
19015,yes,ho,exhibit,r,sfke,summary,or,appol,tment,ves,False
19016,ho,exhibit,r,sfke,summary,or,appol,tment,of,ho,True
19017,exhibit,r,sfke,summary,or,appol,tment,of,a,aoiflt,True
19018,r,sfke,summary,or,appol,tment,of,a,commlttee,f,True
19019,sfke,summary,or,appol,tment,of,a,commlttee,the,the,False
19020,summary,or,appol,tment,of,a,commlttee,the,staff,coordinated,True
19021,or,appol,tment,of,a,commlttee,the,staff,functlon,federal,True
19022,appol,tment,of,a,commlttee,the,staff,functlon,gp,legislative,True
19023,tment,of,a,commlttee,the,staff,functlon,gp,servlces,activities,True
19024,of,a,commlttee,the,staff,functlon,gp,servlces,are,of,True
19025,a,commlttee,the,staff,functlon,gp,servlces,are,also,the,True
19026,commlttee,the,staff,functlon,gp,servlces,are,also,fndustr,chemical,False
19027,the,staff,functlon,gp,servlces,are,also,fndustr,grassroots,direct,True
19028,staff,functlon,gp,servlces,are,also,fndustr,grassroots,system,legislative,True
19029,functlon,gp,servlces,are,also,fndustr,grassroots,system,to,communications,True
19030,gp,servlces,are,also,fndustr,grassroots,system,to,bulld,or,False
19031,servlces,are,also,fndustr,grassroots,system,to,bulld,local,appointment,True
19032,are,also,fndustr,grassroots,system,to,bulld,local,influence,of,True
19033,also,fndustr,grassroots,system,to,bulld,local,influence,sn,a,True
19034,fndustr,grassroots,system,to,bulld,local,influence,sn,congresslonal,committee,True
19035,grassroots,system,to,bulld,local,influence,sn,congresslonal,issues,the,True
19036,system,to,bulld,local,influence,sn,congresslonal,issues,actlons,staff,True
19037,to,bulld,local,influence,sn,congresslonal,issues,actlons,a,function,False
19038,bulld,local,influence,sn,congresslonal,issues,actlons,a,provldes,is,False
19039,local,influence,sn,congresslonal,issues,actlons,a,provldes,a,gpacial,True
19040,influence,sn,congresslonal,issues,actlons,a,provldes,a,serles,activities,True
19041,sn,congresslonal,issues,actlons,a,provldes,a,serles,of,a,True
19042,congresslonal,issues,actlons,a,provldes,a,serles,of,reports,section,True
19043,issues,actlons,a,provldes,a,serles,of,reports,by,describes,True
19044,actlons,a,provldes,a,serles,of,reports,by,task,events,True
19045,a,provldes,a,serles,of,reports,by,task,group,such,True
19046,provldes,a,serles,of,reports,by,task,group,chalrmen,as,True
19047,a,serles,of,reports,by,task,group,chalrmen,and,the,True
19048,serles,of,reports,by,task,group,chalrmen,and,kaymen,cma,True
19049,of,reports,by,task,group,chalrmen,and,kaymen,provlde,briefing,True
19050,reports,by,task,group,chalrmen,and,kaymen,provlde,overall,breakfast,True
19051,by,task,group,chalrmen,and,kaymen,provlde,overall,leglslatlve,and,True
19052,task,group,chalrmen,and,kaymen,provlde,overall,leglslatlve,servlce,the,True
19053,group,chalrmen,and,kaymen,provlde,overall,leglslatlve,servlce,and,of,False
19054,chalrmen,and,kaymen,provlde,overall,leglslatlve,servlce,and,leadershlp,developments,True
19055,and,kaymen,provlde,overall,leglslatlve,servlce,and,leadershlp,for,on,False
19056,kaymen,provlde,overall,leglslatlve,servlce,and,leadershlp,for,cma,current,False
19057,provlde,overall,leglslatlve,servlce,and,leadershlp,for,cma,also,several,True
19058,overall,leglslatlve,servlce,and,leadershlp,for,cma,also,a,kinds,False
19059,leglslatlve,servlce,and,leadershlp,for,cma,also,a,tax,of,True
19060,servlce,and,leadershlp,for,cma,also,a,tax,rate,information,True
19061,and,leadershlp,for,cma,also,a,tax,rate,from,and,True
